book_title,author,average_rating,rating_count,review_count,number_of_page,first_publish_year,editions,format,language,ISBN,link
On Line: English for Computer Science,Roberta Z. Lavine,3.0,1,0,182,1985,1,Unknown Binding,English,ISBN0070366810(ISBN13:9780070366817),https://www.goodreads.com/book/show/3684438-on-line?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1006
The Science of Programming (Monographs in Computer Science),David Gries,3.94,49,4,403,1981,4,Kindle Edition,English,ISBN0387964800(ISBN13:9780387964805),https://www.goodreads.com/book/show/19294291-the-science-of-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1007
"Multimedia, Computer Graphics And Broadcasting: First International Conference, Mul Gra B 2009, Held As Part Of The Furture Generation Information Technology ... In Computer And Information Science)","['Dominik Ślęzak', 'William I. Grosky', 'Niki Pissinou', 'Timothy K. Shih', 'Tai-Hoon Kim', 'Byeong-Ho Kang']",3.33,3,0,93,2009,1,Paperback,English,ISBN3642105114(ISBN13:9783642105111),https://www.goodreads.com/book/show/7194902-multimedia-computer-graphics-and-broadcasting?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1008
"Ecoop 2006   Object Oriented Programming: 20th European Conference, Nantes, France, July 3 7, 2006, Proceedings (Lecture Notes In Computer Science)",Dave Thomas,3.0,2,0,530,2006,1,Paperback,English,ISBN3540357262(ISBN13:9783540357261),https://www.goodreads.com/book/show/8096770-ecoop-2006-object-oriented-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1010
Ftce Computer Science K-12 Secrets Study Guide: Ftce Test Review for the Florida Teacher Certification Examinations,Ftce Exam Secrets Test Prep Team,1.0,1,1,172,2013,1,Paperback,English,ISBN1627330461(ISBN13:9781627330466),https://www.goodreads.com/book/show/18357272-ftce-computer-science-k-12-secrets-study-guide?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1012
Computer science: Hands on Basic Skills: a Simplified Version for Basic and Professional ICT Knowlwdge,Asuman Balaba,4.0,1,0,216,,1,Kindle Edition,,,https://www.goodreads.com/book/show/43195565-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1013
"Principles of Security and Trust: 8th International Conference, POST 2019, Held as Part of the European Joint Conferences on Theory and Practice of Software, ... Notes in Computer Science Book 11426)","['Flemming Nielson', 'David Sands']",0.0,0,0,249,,1,Kindle Edition,,,https://www.goodreads.com/book/show/45014673-principles-of-security-and-trust?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1016
Together with Computer Science - 11,Rachna Sagar,5.0,2,0,391,,1,Perfect Paperback,,ISBN9386500558(ISBN13:9789386500557),https://www.goodreads.com/book/show/36059009-together-with-computer-science---11?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1017
Artificial Intelligence: Can Computers Take Over?,Rebecca Felix,0.0,0,0,32,,2,Hardcover,,ISBN1532115385(ISBN13:9781532115387),https://www.goodreads.com/book/show/38812130-artificial-intelligence?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1019
A/AS Level Computer Science for WJEC/Eduqas Student Book with Cambridge Elevate Enhanced Edition (2 Years) (A Level Comp 2 Computer Science WJEC/Eduqas),"['Mark            Thomas', 'Alistair Surrall', 'Adam Hamflett']",2.0,1,0,368,,1,Paperback,,ISBN1108412769(ISBN13:9781108412766),https://www.goodreads.com/book/show/38311862-a-as-level-computer-science-for-wjec-eduqas-student-book-with-cambridge?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1020
Introduction to Algorithms & Data Structures: A Beginner's Guide to Computer Science topics,"['John Akers', 'Adam deGrandis', 'Sarah deGrandis']",5.0,1,0,31,,1,Kindle Edition,,,https://www.goodreads.com/book/show/39292944-introduction-to-algorithms-data-structures?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1021
Click Start 2 Primary: Computer Science for Schools,Ayesha Soldier,0.0,0,0,84,,1,Paperback,,ISBN0521185300(ISBN13:9780521185301),https://www.goodreads.com/book/show/28144362-click-start-2-primary?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1023
Praxis II Computer Science (5651) Exam Secrets Study Guide: Praxis II Test Review for the Praxis II: Subject Assessments,Praxis II Exam Secrets Test Prep,0.0,0,0,188,,1,Paperback,,ISBN1516700570(ISBN13:9781516700578),https://www.goodreads.com/book/show/28135574-praxis-ii-computer-science-5651-exam-secrets-study-guide?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1024
Mathematics (for Computer Science & Engineering Students) Paper–1: Calculus and Linear Algebra and Paper-2: Probability and Statistics (As per AICTE Model Curriculum 2018),ITL Education Solutions Limited,0.0,0,0,480,,1,Paperback,,ISBN9387994880(ISBN13:9789387994881),https://www.goodreads.com/book/show/51097797-mathematics-for-computer-science-engineering-students-paper-1?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1025
"Soft Ware 2002: Computing In An Imperfect World: First International Conference, Soft Ware 2002 Belfast, Northern Ireland, April 8 10, 2002 Proceedings (Lecture Notes In Computer Science)","['David Bustard', 'Roy Sterritt']",0.0,0,1,,2002,1,Paperback,English,ISBN354043481X(ISBN13:9783540434818),https://www.goodreads.com/book/show/1006978.Soft_Ware_2002?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1026
Program Design Using Jsp   A Practical Introduction (Computer Science Series),"['M.J. King', 'J.P. Pardoe']",2.0,1,0,248,1985,2,Paperback,,ISBN0333395360(ISBN13:9780333395363),https://www.goodreads.com/book/show/5761967-program-design-using-jsp-a-practical-introduction?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1028
I/G Computer Science,J. Glenn Brookshear,2.0,1,0,,,1,Hardcover,English,ISBN0805309012(ISBN13:9780805309010),https://www.goodreads.com/book/show/5858483-i-g-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1029
Computer Science Applied to Business Systems,M. J. R. Shave,0.0,0,0,246,1982,1,Hardcover,English,ISBN0201137941(ISBN13:9780201137941),https://www.goodreads.com/book/show/3910190-computer-science-applied-to-business-systems?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1030
An Introduction To Computer Science With Modula 2,"['J. Mack Adams', 'Phillipe J. Gabrini', 'Philippe J. Gabrini']",0.0,0,0,,,1,,,ISBN0669121711(ISBN13:9780669121711),https://www.goodreads.com/book/show/4260150-an-introduction-to-computer-science-with-modula-2?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1031
Elements Of Computer Science,Glyn Emery,0.0,0,0,,,2,,,ISBN0273002465(ISBN13:9780273002468),https://www.goodreads.com/book/show/7144779-elements-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1032
Computer Science Experiments,Pamela Walker,1.0,1,0,153,2009,1,Hardcover,English,ISBN0816078068(ISBN13:9780816078066),https://www.goodreads.com/book/show/9893553-computer-science-experiments?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1034
Logic Functions and Equations: Binary Models for Computer Science,"['Christian Posthoff', 'Bernd Steinbach']",4.0,1,0,392,2005,5,Paperback,English,ISBN1441952616(ISBN13:9781441952615),https://www.goodreads.com/book/show/14364327-logic-functions-and-equations?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1035
Mathematics for Informatics and Computer Science,Pierre Audibert,0.0,0,0,914,2010,5,Hardcover,English,ISBN1848211961(ISBN13:9781848211964),https://www.goodreads.com/book/show/10005677-mathematics-for-informatics-and-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1036
Applications of Categories in Computer Science,"['M.P. Fourman', 'Peter T. Johnstone', 'A.M. Pitts']",0.0,0,0,351,1992,4,ebook,,ISBN1299404502(ISBN13:9781299404502),https://www.goodreads.com/book/show/17813027-applications-of-categories-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1037
"Functional Programming Languages and Computer Architecture: Proceedings, Nancy, France, September 16-19, 1985 (Lecture Notes in Computer Science)",Jean-Pierre Jouannaud,4.0,2,0,413,1985,3,Kindle Edition,English,,https://www.goodreads.com/book/show/20092348-functional-programming-languages-and-computer-architecture?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1038
"Inductive Logic Programming: 14th International Conference, ILP 2004, Porto, Portugal, September 6-8, 2004, Proceedings (Lecture Notes in Computer Science / Lecture Notes in Artificial Intelligence)","['Rui Camacho', 'Ross King', 'Ashwin Srinivasan']",0.0,0,0,361,2009,1,Kindle Edition,English,,https://www.goodreads.com/book/show/20237484-inductive-logic-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1039
PCB Design for Real-World EMI Control (The Springer International Series in Engineering and Computer Science),"['Bruce R. Archambeault', 'James Drewniak']",0.0,0,0,244,2002,2,Kindle Edition,English,,https://www.goodreads.com/book/show/19971838-pcb-design-for-real-world-emi-control?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1040
Bioinformatics Challenges at the Interface of Biology and Computer Science: Mind the Gap,"['Attwood', 'Teresa K Attwood', 'Stephen Pettifer']",4.0,1,0,424,,1,Paperback,,ISBN047003548X(ISBN13:9780470035481),https://www.goodreads.com/book/show/27798297-bioinformatics-challenges-at-the-interface-of-biology-and-computer-scien?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1041
Click Start 1 Primary: Computer Science for Schools,Ayesha Soldier,0.0,0,0,52,,1,Paperback,,ISBN0521185270(ISBN13:9780521185271),https://www.goodreads.com/book/show/28144361-click-start-1-primary?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1042
"Computing Handbook, Third Edition: Computer Science and Software Engineering","['Teofilo Gonzalez', 'Jorge Diaz-Herrera', 'Allen Tucker']",5.0,2,0,2326,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/28649515-computing-handbook-third-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1043
"Probability, Statistics, and Queueing Theory: With Computer Science Applications (Computer science and applied mathematics series)","['Arnold O. Allen', 'Werner Rheinboldt']",0.0,0,0,406,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/30101760-probability-statistics-and-queueing-theory?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1044
Discrete Mathematics for Computer Science Preliminary Edition,David Liben-Nowell,0.0,0,0,684,,1,Paperback,,ISBN1119171091(ISBN13:9781119171096),https://www.goodreads.com/book/show/30535844-discrete-mathematics-for-computer-science-preliminary-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1045
My Revision Notes AQA GCSE Computer Science                           Computing Fundamentals,Steve Cushing,4.0,2,0,80,2013,6,Kindle Edition,English,,https://www.goodreads.com/book/show/21053690-my-revision-notes-aqa-gcse-computer-science-co?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1046
RRB Railway Recruitment Board IT (Computer Science) For Junior and Section Engineer Exam (Self-Study Guide Cum Practice Work Book),A Pannel of Authors,0.0,0,0,,,1,Paperback,,ISBN8129901978(ISBN13:9788129901972),https://www.goodreads.com/book/show/40537640-rrb-railway-recruitment-board-it-computer-science-for-junior-and-secti?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1050
"5 Steps to a 5: AP Computer Science Principles, 2nd Edition",Julie Sway,0.0,0,0,240,,1,Paperback,,ISBN1260466760(ISBN13:9781260466768),https://www.goodreads.com/book/show/50925912-5-steps-to-a-5?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1051
Summary of Algorithms to Live By: The Computer Science of Human Decisions by Brian Christian and Tom Griffiths,Readtrepreneur Publishing,5.0,1,0,70,,2,Paperback,,ISBN1646151062(ISBN13:9781646151066),https://www.goodreads.com/book/show/51735355-summary-of-algorithms-to-live-by?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1052
On the Shape of Mathematical Arguments (Lecture Notes in Computer Science),"['Antonetta J.M. van Gasteren', 'Edsger W. Dijkstra']",0.0,0,0,182,1990,2,Kindle Edition,English,,https://www.goodreads.com/book/show/19809892-on-the-shape-of-mathematical-arguments?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1053
Supply Chain Management and Its Applications in Computer Science,"['Saoussen Krichen', 'Sihem Ben Jouida']",4.0,1,0,108,2015,3,Paperback,,ISBN1848218710(ISBN13:9781848218710),https://www.goodreads.com/book/show/26492334-supply-chain-management-and-its-applications-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1054
French-English/English-French Dictionary of Computer Science,Hippocrene Books,0.0,0,0,1300,1998,1,Paperback,English,ISBN0781806283(ISBN13:9780781806282),https://www.goodreads.com/book/show/15292590-french-english-english-french-dictionary-of-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1055
TExES (141) Computer Science 8-12 Exam Secrets: TExES Test Review for the TExES Examinations of Educator Standards,TExES Exam Secrets Test Prep Team,0.0,0,0,192,2013,1,Paperback,,ISBN1627331751(ISBN13:9781627331753),https://www.goodreads.com/book/show/18357400-texes-141-computer-science-8-12-exam-secrets?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1056
"Distributed Computing -- IWDC 2004: 6th International Workshop, Kolkata, India, December 27-30, 2004, Proceedings (Lecture Notes in Computer Science)","['Nabanita Das', 'Arunabha Sen', 'Sajal K. Das', 'Bhabani P. Sinha']",0.0,0,0,568,2008,1,Kindle Edition,English,,https://www.goodreads.com/book/show/20049144-distributed-computing----iwdc-2004?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1057
"Isccs 2011: 2011 International Symposium on Computer Science and Society: Proceedings: 16-17 July 2011, Kota Kinabalu, Malaysia",International Symposium on Computer Scie,3.0,1,0,418,2011,1,Hardcover,English,ISBN0769544436(ISBN13:9780769544434),https://www.goodreads.com/book/show/14874126-isccs-2011?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1058
The Computer and the Mind: An Introduction to Cognitive Science,Philip N. Johnson-Laird,3.76,29,1,444,1988,6,Hardcover,English,ISBN0674156153(ISBN13:9780674156159),https://www.goodreads.com/book/show/1884362.The_Computer_and_the_Mind?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1059
My Revision Notes OCR a Level Computer Science,"['George Rouse', ""Sean O'Byrne"", 'Jason Pitt']",4.5,2,0,168,,2,Paperback,English,ISBN1471865835(ISBN13:9781471865831),https://www.goodreads.com/book/show/30750722-my-revision-notes-ocr-a-level-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1060
GATE Computer Science & Information Technology (26 Year's Chapter-Wise Solved Paper) 2018,GKP,4.0,1,0,386,,1,Paperback,,ISBN9386309793(ISBN13:9789386309792),https://www.goodreads.com/book/show/35161076-gate-computer-science-information-technology-26-year-s-chapter-wise-s?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1065
International Baccalaureate Computer Science Hl & SL Revision Notes: Topic 2: Computer Organisation,H. Sarah Shakibi,0.0,0,0,34,,1,Paperback,,ISBN1544659563(ISBN13:9781544659565),https://www.goodreads.com/book/show/34635107-international-baccalaureate-computer-science-hl-sl-revision-notes?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1066
5 Steps to a 5: AP Computer Science a 2020,Dean R. Johnson,4.0,1,0,512,,2,Paperback,,ISBN1260454916(ISBN13:9781260454918),https://www.goodreads.com/book/show/43728907-5-steps-to-a-5?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1067
UGC-NET Computer Sciences & Applications: Previous Year Solved Question Papers,Rajendra Prasad,5.0,2,0,414,,1,Kindle Edition,,,https://www.goodreads.com/book/show/44661833-ugc-net-computer-sciences-applications?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1068
Computer Simulation: A Foundational Approach Using Python (Chapman & Hall/CRC Computer and Information Science Series),Yahya Esmail Osais,5.0,1,0,313,,2,Kindle Edition,,,https://www.goodreads.com/book/show/46269287-computer-simulation?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1070
The Computer Science Book: A complete introduction to computer science in one book,Thomas Johnson,4.0,1,0,364,,1,ebook,English,,https://www.goodreads.com/book/show/56480529-the-computer-science-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1071
5 Steps to a 5 AP Computer Science,"['Kathleen A. Larson', 'David           Levine']",0.0,0,0,352,2005,1,Paperback,English,ISBN0071437118(ISBN13:9780071437110),https://www.goodreads.com/book/show/533072.5_Steps_to_a_5_AP_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1072
"Discrete Mathematics and Logic: Theoretical Foundations for Computer Science, an Arabic Text",Ali Mili,0.0,0,0,428,2006,1,Paperback,Arabic,ISBN1430302461(ISBN13:9781430302469),https://www.goodreads.com/book/show/646942.Discrete_Mathematics_and_Logic?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1073
Advanced Placement Computer Science Study Guide to Accompany Cay Horstmann's Java Concepts,Frances P. Trees,0.0,0,0,469,2005,1,Paperback,English,ISBN0471718610(ISBN13:9780471718611),https://www.goodreads.com/book/show/630850.Advanced_Placement_Computer_Science_Study_Guide_to_Accompany_Cay_Horstmann_s_Java_Concepts?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1074
Planning and Architectural Design of Modern Command Control Communications and Information Systems: Military and Civilian Applications (The Springer International ... Series in Engineering and Computer Science),"['A. Nejat Ince', 'Cem Evrendilek', 'Dag Wilhelmsen', 'Fadil Gezer']",0.0,0,0,301,1997,3,Kindle Edition,English,,https://www.goodreads.com/book/show/6107048-planning-and-architectural-design-of-modern-command-control-communicatio?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1075
"Graphs and Algorithms in Communication Networks: Studies in Broadband, Optical, Wireless and Ad Hoc Networks (Texts In Theoretical Computer Science. An Eatcs Series)","['Arie M.C.A. Koster', 'Xavier Muñoz']",0.0,0,0,426,2009,4,Hardcover,English,ISBN3642022499(ISBN13:9783642022494),https://www.goodreads.com/book/show/7296536-graphs-and-algorithms-in-communication-networks?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1076
"Best Practices For The Knowledge Society   Knowledge, Learning, Development And Technology For All: Second World Summit On The Knowledge Society, Wsks ... In Computer And Information Science)","['Miltiadis D. Lytras', 'Patricia Ordóñez de Pablos', 'Ernesto Damiani', 'David E. Avison', 'Ambjörn Naeve', 'David G. Horner']",5.0,1,0,586,2009,1,Paperback,English,ISBN3642047564(ISBN13:9783642047565),https://www.goodreads.com/book/show/7111862-best-practices-for-the-knowledge-society-knowledge-learning-developm?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1077
Towards Trustworthy Elections: New Directions In Electronic Voting (Lecture Notes In Computer Science / Security And Cryptology),"['David Chaum', 'Markus Jakobsson', 'Ronald L. Rivest', 'Peter Y.A. Ryan', 'Josh Benaloh', 'Mirosław Kutyłowski', 'Ben Adida']",0.0,0,0,403,2010,3,Paperback,English,ISBN364212979X(ISBN13:9783642129797),https://www.goodreads.com/book/show/8317006-towards-trustworthy-elections?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1078
"Computers, System Science, and Evolving Society: The Challenge of Man-Machine Digital Systems",Harold Sackman,0.0,0,0,638,1967,1,Hardcover,English,,https://www.goodreads.com/book/show/18367171-computers-system-science-and-evolving-society?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1081
"Boolean Models and Methods in Mathematics, Computer Science, and Engineering","['Yves Crama', 'Peter L. Hammer']",4.0,2,0,780,2010,4,ebook,,ISBN1107266637(ISBN13:9781107266636),https://www.goodreads.com/book/show/18096715-boolean-models-and-methods-in-mathematics-computer-science-and-enginee?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1082
Computer Science and Computing: A Guide to the Literature,Michael Knee,4.0,1,0,168,2005,1,Hardcover,English,ISBN1591581605(ISBN13:9781591581604),https://www.goodreads.com/book/show/3550465-computer-science-and-computing?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1084
"Introduction to Dynamic Programming: International Series in Modern Applied Mathematics and Computer Science, Volume 1 (Pergamon International Library ... Technology, Engineering & Social Studies)","['Leon Cooper', 'E. Y. Rodin', 'Mary W. Cooper']",0.0,0,0,289,,1,Kindle Edition,,,https://www.goodreads.com/book/show/36196667-introduction-to-dynamic-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1085
Oswaal CBSE Question Bank Class 12 Computer Science C++ Book Chapterwise & Topicwise (For March 2020 Exam),Oswaal Editorial Board,5.0,1,0,256,,1,Paperback,,ISBN9389067324(ISBN13:9789389067323),https://www.goodreads.com/book/show/52969752-oswaal-cbse-question-bank-class-12-computer-science-c-book-chapterwise?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1086
Practice CS Concepts with Scratch: Create exciting games and animation in Scratch and practice Computer Science principles (Learning computer programming and CS principles Book 1),Abhay Joshi,0.0,0,0,152,,1,Kindle Edition,,,https://www.goodreads.com/book/show/51850574-practice-cs-concepts-with-scratch?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1087
Click Start Level 6 Student's Book: Computer Science for Schools,"['Anjna Virmani', 'Shalini Harisukh']",0.0,0,0,168,,1,Paperback,,ISBN1107691788(ISBN13:9781107691780),https://www.goodreads.com/book/show/32314579-click-start-level-6-student-s-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1089
"Network+ Guide to Networks: Computer Science, Computer Networking",Cram101 Textbook Reviews,5.0,1,0,133,,1,ebook,,ISBN149029628X(ISBN13:9781490296289),https://www.goodreads.com/book/show/31218711-network-guide-to-networks?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1090
C++ Lab Manual for Computer Science: An Overview,Mary P. Boelk,0.0,0,0,304,1997,1,Paperback,English,ISBN0201315459(ISBN13:9780201315455),https://www.goodreads.com/book/show/2421526.C_Lab_Manual_for_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1091
Introduction to Data Structures and Computer Organization (McGraw-Hill computer science series),Harold S. Stone,0.0,0,0,320,1972,1,Hardcover,,ISBN0070617260(ISBN13:9780070617261),https://www.goodreads.com/book/show/3798183-introduction-to-data-structures-and-computer-organization?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1092
Software Reliability Modelling and Identification (Lecture Notes in Computer Science),Sergio Bittanti,5.0,1,1,209,1989,2,Paperback,,ISBN0387506950(ISBN13:9780387506951),https://www.goodreads.com/book/show/3534334-software-reliability-modelling-and-identification?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1093
"Engineering Theories Of Software Construction (Nato Science Series. Series Iii, Computer And Systems Sciences, 180)","['Tony Hoare', 'Manfred Broy', 'Ralf Steinbruggen']",5.0,1,0,357,2002,1,Hardcover,,ISBN1586031724(ISBN13:9781586031725),https://www.goodreads.com/book/show/7514986-engineering-theories-of-software-construction?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1094
"Computer Networks And Information Technologies: Second International Conference On Advances In Communication, Network, And Computing, Cnc 2011, ... In Computer And Information Science)","['Vinu V. Das', 'Janahanlal Stephen', 'Yogesh Chaba']",0.0,0,0,670,2011,2,Paperback,English,ISBN3642195415(ISBN13:9783642195419),https://www.goodreads.com/book/show/10931435-computer-networks-and-information-technologies?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1095
"Introduction to Computer Science, Using Java, Student Edition","['McGraw-Hill Education', 'Seth Weiss', 'Kent Quirk']",0.0,0,0,758,2003,1,Hardcover,,ISBN0078225930(ISBN13:9780078225932),https://www.goodreads.com/book/show/10122517-introduction-to-computer-science-using-java-student-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1096
"Software Engineering And Computer Systems, Part I: Second International Conference, Icsecs 2011, Kuantan, Malaysia, June 27 29, 2011. Proceedings, ... In Computer And Information Science)","['Jasni Mohamad Zain', 'Wan Maseri Wan Mohd', 'Eyas El-Qawasmeh']",0.0,0,0,764,2011,1,Paperback,English,ISBN3642221696(ISBN13:9783642221699),https://www.goodreads.com/book/show/12349482-software-engineering-and-computer-systems-part-i?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1097
GATE Computer Science and Information Technology 2018,Trishna Knowledge Systems,0.0,0,0,1144,,1,Paperback,,ISBN9332585725(ISBN13:9789332585720),https://www.goodreads.com/book/show/36128948-gate-computer-science-and-information-technology-2018?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1100
Frank computer Science - Class 7,Suchanda Sen,0.0,0,0,,,1,Paperback,,ISBN9350375354(ISBN13:9789350375358),https://www.goodreads.com/book/show/36167947-frank-computer-science---class-7?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1101
"Cyber Security Cryptography and Machine Learning: First International Conference, CSCML 2017, Beer-Sheva, Israel, June 29-30, 2017, Proceedings (Lecture Notes in Computer Science)","['Shlomi Dolev', 'Sachin Lodha']",4.0,1,0,318,,1,Kindle Edition,,,https://www.goodreads.com/book/show/36802731-cyber-security-cryptography-and-machine-learning?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1102
Theory of Reversible Computing (Monographs in Theoretical Computer Science. An EATCS Series),Kenichi Morita,0.0,0,0,457,,2,Hardcover,,ISBN443156604X(ISBN13:9784431566045),https://www.goodreads.com/book/show/38229552-theory-of-reversible-computing?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1104
Analytical Engine: An Introduction to Computer Science Using HyperCard 2.1: An Introduction to Computer Science Using HyperCard 2.1,"['Rick Decker', 'Stuart Hirshfield']",5.0,1,0,391,1993,1,Paperback,English,ISBN0534936962(ISBN13:9780534936969),https://www.goodreads.com/book/show/39574.Analytical_Engine?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1105
Linear Programs & Related Problems: A Volume in the Computer Science and Scientific Computing Series,Evar D. Nering,0.0,0,0,584,1992,2,Hardcover,English,ISBN0125154402(ISBN13:9780125154406),https://www.goodreads.com/book/show/3987081-linear-programs-related-problems?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1106
"Java on Smart Cards: Programming and Security: First International Workshop, JavaCard 2000 Cannes, France, September 14, 2000 Revised Papers (Lecture Notes in Computer Science)","['I. Attali', 'T. Jensen']",0.0,0,0,166,2001,1,Paperback,English,ISBN354042167X(ISBN13:9783540421672),https://www.goodreads.com/book/show/7720246-java-on-smart-cards?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1108
"Digital Technologies In Higher Education: Sweeping Expectations And Actual Effects (Computer Science, Technology And Applications)",Sarah Guri-rosenblit,0.0,0,0,175,2011,1,Paperback,English,ISBN1617611026(ISBN13:9781617611025),https://www.goodreads.com/book/show/13133098-digital-technologies-in-higher-education?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1109
OCR Computer Science for GCSE Student Book,"['George Rouse', ""Sean O'Byrne""]",0.0,0,0,224,,3,Kindle Edition,English,,https://www.goodreads.com/book/show/31351198-ocr-computer-science-for-gcse-student-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1112
International Baccalaureate Computer Science Hl & SL: Option A: Databases Part I Basic Concepts,H. Sarah Shakibi,0.0,0,0,30,,1,Paperback,,ISBN1542457084(ISBN13:9781542457088),https://www.goodreads.com/book/show/34140789-international-baccalaureate-computer-science-hl-sl?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1113
Logic and Language Models for Computer Science: 3rd Edition,Dana Richards,0.0,0,0,,,1,Paperback,,ISBN9813230509(ISBN13:9789813230507),https://www.goodreads.com/book/show/35747699-logic-and-language-models-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1114
DRDO (CEPTAM) Senior Technical Assistant Computer Science 2017,GKP,3.0,1,0,656,,1,Paperback,,ISBN9386309203(ISBN13:9789386309204),https://www.goodreads.com/book/show/36214517-drdo-ceptam-senior-technical-assistant-computer-science-2017?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1115
